Date,Venue,City,Region,Composer Name,Variant Title,Work Title,Concert Info,Works Info,Conductor/Performer,Ensemble,Holdings 1,Holdings 2,URL [primary source],URL [catalog]
1863-01-16T07:30,Washburn Hall,Worcester,Massachusetts,"Ravina, Jean Henri",Nocturne in D flat,"Nocturne, Op. 13",First and Only Grand Concert,,,,American Antiquarian Society: American broadsides and ephemera - no. 20579; Ephemera Worc Conc 0024,,http://documentingcarreno.org/items/show/32,http://catalog.mwa.org/vwebv/holdingsInfo?bibId=384687
1863-01-16T07:30,Washburn Hall,Worcester,Massachusetts,"Thalberg, Sigismond",Grande fantaisie sur Moise,"Grande Fantaisie sur ""Moise,"" Op. 33",First and Only Grand Concert,,,,American Antiquarian Society: American broadsides and ephemera - no. 20579; Ephemera Worc Conc 0024,,http://documentingcarreno.org/items/show/32,http://catalog.mwa.org/vwebv/holdingsInfo?bibId=384687
1863-01-16T07:30,Washburn Hall,Worcester,Massachusetts,"Prudent, Émile",Caprice sur Ernani,"Caprice sur ""Ernani,"" Op. 31",First and Only Grand Concert,,,,American Antiquarian Society: American broadsides and ephemera - no. 20579; Ephemera Worc Conc 0024,,http://documentingcarreno.org/items/show/32,http://catalog.mwa.org/vwebv/holdingsInfo?bibId=384687
1863-01-16T07:30,Washburn Hall,Worcester,Massachusetts,"Carreño, Teresa",Valse dedie a Gottschalk,"Gottschalk Waltz, Op. 1",First and Only Grand Concert,,,,American Antiquarian Society: American broadsides and ephemera - no. 20579; Ephemera Worc Conc 0024,,http://documentingcarreno.org/items/show/32,http://catalog.mwa.org/vwebv/holdingsInfo?bibId=384687
1863-01-30T07:30,Boston Music Hall,Boston,Massachusetts,"Beethoven, Ludwig van",Sonata Pathetique,"Piano Sonata No. 8, Op. 13",Farewell concert,,,,"New York Public Library, Performing Arts Division: Music Division Clipping File: Carreño Programs (MBD - uncat)",,http://documentingcarreno.org/items/show/41,
1863-01-30T07:30,Boston Music Hall,Boston,Massachusetts,"Mendelssohn, Felix",Capriccio Brilliant with orchestral accompaniment,"Capriccio Brillant, Op. 22",Farewell concert,,"Zerrahn, Carl",,"New York Public Library, Performing Arts Division: Music Division Clipping File: Carreño Programs (MBD - uncat)",,http://documentingcarreno.org/items/show/41,
1863-01-30T07:30,Boston Music Hall,Boston,Massachusetts,"Carreño, Teresa",“L’Addio.” Valse composed and dedicated to the Ladies of Boston,L'Addio valse,Farewell concert,,,,"New York Public Library, Performing Arts Division: Music Division Clipping File: Carreño Programs (MBD - uncat)",,http://documentingcarreno.org/items/show/41,
1863-05-13T08:00,Liceo de la Habana,Havana,Cuba,"Gottschalk, Louis M.",Last Hope,"Last Hope, Op. 16",Final Musical Soiree,,,,"Teresa Carreño Collection. Archives and Special Collections Library, Vassar College: Folder 14.8 Concert Programs",,http://documentingcarreno.org/items/show/151,
1863-05-13T08:00,Liceo de la Habana,Havana,Cuba,"Thalberg, Sigismond","Home, Sweet Home","Home! Sweet Home!, Op. 72",Final Musical Soiree,,,,"Teresa Carreño Collection. Archives and Special Collections Library, Vassar College: Folder 14.8 Concert Programs",,http://documentingcarreno.org/items/show/151,
1863-05-13T08:00,Liceo de la Habana,Havana,Cuba,"Herz, Henri","Grandes variaciones sobre ""I Puritani""","Grand Fantasia on Bellini's ""I Puritani""",Final Musical Soiree,,,,"Teresa Carreño Collection. Archives and Special Collections Library, Vassar College: Folder 14.8 Concert Programs",,http://documentingcarreno.org/items/show/151,
