Decade,Date,Venue,City,State,Country,Coverage,Composer Name,Variant Title,Work Title,Concert Info,Works Info,Conductor/Performer,Ensemble,Holdings 1,RISM 1,Holdings 2,RISM 2,Resource URL,Record URL,,
1860,1863-01-16T19:30,Washburn Hall,Worcester,Massachusetts,United States,"42.2625932, -71.8022934","Ravina, Jean Henri",Nocturne in D flat,"Nocturne, op. 13",First and Only Grand Concert,,,,American Antiquarian Society: American broadsides and ephemera - no. 20579; Ephemera Worc Conc 0024,US-Woa,,,http://documentingcarreno.org/items/show/32,http://catalog.mwa.org/vwebv/holdingsInfo?bibId=384687,,
1860,1863-01-16T19:30,Washburn Hall,Worcester,Massachusetts,United States,"42.2625932, -71.8022934","Thalberg, Sigismond",Grande fantaisie sur Moise,"Grande Fantaisie sur ""Moise,"" op. 33",First and Only Grand Concert,,,,American Antiquarian Society: American broadsides and ephemera - no. 20579; Ephemera Worc Conc 0024,US-Woa,,,http://documentingcarreno.org/items/show/32,http://catalog.mwa.org/vwebv/holdingsInfo?bibId=384687,,
1860,1863-01-16T19:30,Washburn Hall,Worcester,Massachusetts,United States,"42.2625932, -71.8022934","Prudent, Émile",Caprice sur Ernani,"Caprice sur ""Ernani,"" op. 31",First and Only Grand Concert,,,,American Antiquarian Society: American broadsides and ephemera - no. 20579; Ephemera Worc Conc 0024,US-Woa,,,http://documentingcarreno.org/items/show/32,http://catalog.mwa.org/vwebv/holdingsInfo?bibId=384687,,
1860,1863-01-16T19:30,Washburn Hall,Worcester,Massachusetts,United States,"42.2625932, -71.8022934","Carreño, Teresa",Valse dedie a Gottschalk,"Gottschalk Waltz, op. 1",First and Only Grand Concert,,,,American Antiquarian Society: American broadsides and ephemera - no. 20579; Ephemera Worc Conc 0024,US-Woa,,,http://documentingcarreno.org/items/show/32,http://catalog.mwa.org/vwebv/holdingsInfo?bibId=384687,,
1860,1863-01-30T19:30,Boston Music Hall,Boston,Massachusetts,United States,"42.3600825, -71.0588801","Beethoven, Ludwig van",Sonata Pathetique,"Piano Sonata no. 8, op. 13",Farewell concert,,,,"New York Public Library, Performing Arts Division: Music Division Clipping File: Carreño Programs (MBD - uncat)",US-Nyp,,,http://documentingcarreno.org/items/show/41,http://catalog.nypl.org/record=b18275085~S1,,
1860,1863-01-30T19:30,Boston Music Hall,Boston,Massachusetts,United States,"42.3600825, -71.0588801","Mendelssohn, Felix",Capriccio Brilliant with orchestral accompaniment,"Capriccio Brillante, op. 22",Farewell concert,,"Zerrahn, Carl",,"New York Public Library, Performing Arts Division: Music Division Clipping File: Carreño Programs (MBD - uncat)",US-Nyp,,,http://documentingcarreno.org/items/show/41,http://catalog.nypl.org/record=b18275085~S1,,
1860,1863-01-30T19:30,Boston Music Hall,Boston,Massachusetts,United States,"42.3600825, -71.0588801","Carreño, Teresa",“L’Addio.” Valse composed and dedicated to the Ladies of Boston,L'Addio valse,Farewell concert,,,,"New York Public Library, Performing Arts Division: Music Division Clipping File: Carreño Programs (MBD - uncat)",US-Nyp,,,http://documentingcarreno.org/items/show/41,http://catalog.nypl.org/record=b18275085~S1,,
1860,1863-05-13T20:00,Liceo de la Habana,Havana,,Cuba,"42.3600825, -71.0588801","Gottschalk, Louis M.",Last Hope,"Last Hope, op. 16",Final Musical Soiree,,,,"Vassar College, Archives and Special Collections. Teresa Carreño Collection: Folder 14.8 Concert Programs",US-PO,,,http://documentingcarreno.org/items/show/151,http://specialcollections.vassar.edu/collections/manuscripts/findingaids/carreno_teresa.html,,
1860,1863-05-13T20:00,Liceo de la Habana,Havana,,Cuba,"23.1135925, -82.3665956","Thalberg, Sigismond","Home, Sweet Home","Home! Sweet Home!, op. 72",Final Musical Soiree,,,,"Vassar College, Archives and Special Collections. Teresa Carreño Collection: Folder 14.8 Concert Programs",US-PO,,,http://documentingcarreno.org/items/show/151,http://specialcollections.vassar.edu/collections/manuscripts/findingaids/carreno_teresa.html,,
1860,1863-05-13T20:00,Liceo de la Habana,Havana,,Cuba,"23.1135925, -82.3665956","Herz, Henri","Grandes variaciones sobre ""I Puritani""","Grand Fantasia on Bellini's ""I Puritani""",Final Musical Soiree,,,,"Vassar College, Archives and Special Collections. Teresa Carreño Collection: Folder 14.8 Concert Programs",US-PO,,,http://documentingcarreno.org/items/show/151,http://specialcollections.vassar.edu/collections/manuscripts/findingaids/carreno_teresa.html,,
